Date,Seed - tonnes,Area Harvested - Ha,Yield - Hg/Ha,Production Quantity - tonnes
1961-12-31,334.0,22000.0,4181.0,9200.0
1962-12-31,339.0,22300.0,4573.0,10200.0
1963-12-31,282.0,22600.0,5973.0,13500.0
1964-12-31,255.0,18800.0,5957.0,11200.0
1965-12-31,240.0,17000.0,4000.0,6800.0
1966-12-31,184.0,16000.0,5000.0,8000.0
1967-12-31,211.0,12330.0,6001.0,7400.0
1968-12-31,212.0,14120.0,6798.0,9600.0
1969-12-31,183.0,14150.0,6784.0,9600.0
1970-12-31,225.0,12200.0,7950.0,9700.0
1971-12-31,225.0,15000.0,7000.0,10500.0
1972-12-31,240.0,15000.0,7200.0,10800.0
1973-12-31,253.0,16000.0,7500.0,12000.0
1974-12-31,288.0,16890.0,7818.0,13205.0
1975-12-31,312.0,19240.0,7900.0,15200.0
1976-12-31,336.0,20800.0,7192.0,14960.0
1977-12-31,267.0,22400.0,4033.0,9035.0
1978-12-31,156.0,17830.0,4296.0,7660.0
1979-12-31,234.0,10455.0,5738.0,6000.0
1980-12-31,345.0,15640.0,5712.0,8935.0
1981-12-31,373.0,23040.0,5659.0,13040.0
1982-12-31,646.0,24930.0,6331.0,15785.0
1983-12-31,500.0,43086.0,2717.0,11710.0
1984-12-31,719.0,33382.0,4979.0,16622.0
1985-12-31,642.0,47939.0,4410.0,21144.0
1986-12-31,709.0,42850.0,4814.0,20631.0
1987-12-31,750.0,47330.0,5049.0,23897.0
1988-12-31,639.0,50000.0,4520.0,22600.0
1989-12-31,579.0,42640.0,4275.0,18230.0
1990-12-31,581.0,38615.0,4163.0,16077.0
1991-12-31,580.0,38791.0,5065.0,19651.0
1992-12-31,577.0,38700.0,4356.0,16858.0
1993-12-31,572.0,38518.0,4966.0,19129.0
1994-12-31,551.0,38196.0,5096.0,19465.0
1995-12-31,562.0,36790.0,5113.0,18814.0
1996-12-31,580.0,37493.0,6267.0,23498.0
1997-12-31,565.0,38680.0,6816.0,26366.0
1998-12-31,539.0,37714.0,5380.0,20291.0
1999-12-31,552.0,35963.0,6255.0,22498.0
2000-12-31,558.0,36847.0,6455.0,23785.0
2001-12-31,567.0,37223.0,6259.0,23299.0
2002-12-31,574.0,37817.0,6393.0,24179.0
2003-12-31,579.0,38289.0,6512.0,24936.0
2004-12-31,589.0,38649.0,6387.0,24688.0
2005-12-31,636.0,39302.0,6412.0,25201.0
2006-12-31,681.0,42431.0,6333.0,26873.0
2007-12-31,681.0,45454.0,5852.0,26601.0
